,Id,State,Country,Lat,Long,Date,ConfirmedCases,Fatalities,pdc
31,32,not,Afghanistan,33.0,65.0,22-02-2020,0,0,0
32,33,not,Afghanistan,33.0,65.0,23-02-2020,0,0,0
33,34,not,Afghanistan,33.0,65.0,24-02-2020,1,0,0
34,35,not,Afghanistan,33.0,65.0,25-02-2020,1,0,1
35,36,not,Afghanistan,33.0,65.0,26-02-2020,1,0,1
36,37,not,Afghanistan,33.0,65.0,27-02-2020,1,0,1
37,38,not,Afghanistan,33.0,65.0,28-02-2020,1,0,1
38,39,not,Afghanistan,33.0,65.0,29-02-2020,1,0,1
39,40,not,Afghanistan,33.0,65.0,01-03-2020,1,0,1
40,41,not,Afghanistan,33.0,65.0,02-03-2020,1,0,1
41,42,not,Afghanistan,33.0,65.0,03-03-2020,1,0,1
42,43,not,Afghanistan,33.0,65.0,04-03-2020,1,0,1
43,44,not,Afghanistan,33.0,65.0,05-03-2020,1,0,1
44,45,not,Afghanistan,33.0,65.0,06-03-2020,1,0,1
45,46,not,Afghanistan,33.0,65.0,07-03-2020,1,0,1
46,47,not,Afghanistan,33.0,65.0,08-03-2020,4,0,1
47,48,not,Afghanistan,33.0,65.0,09-03-2020,4,0,4
48,49,not,Afghanistan,33.0,65.0,10-03-2020,5,0,4
49,50,not,Afghanistan,33.0,65.0,11-03-2020,7,0,5
50,51,not,Afghanistan,33.0,65.0,12-03-2020,7,0,7
51,52,not,Afghanistan,33.0,65.0,13-03-2020,7,0,7
52,53,not,Afghanistan,33.0,65.0,14-03-2020,11,0,7
53,54,not,Afghanistan,33.0,65.0,15-03-2020,16,0,11
54,55,not,Afghanistan,33.0,65.0,16-03-2020,21,0,16
55,56,not,Afghanistan,33.0,65.0,17-03-2020,22,0,21
56,57,not,Afghanistan,33.0,65.0,18-03-2020,22,0,22
57,58,not,Afghanistan,33.0,65.0,19-03-2020,22,0,22
58,59,not,Afghanistan,33.0,65.0,20-03-2020,24,0,22
59,94,not,Albania,41.1533,20.1683,22-01-2020,0,0,2
60,95,not,Albania,41.1533,20.1683,23-01-2020,0,0,0
61,96,not,Albania,41.1533,20.1683,24-01-2020,0,0,0
62,97,not,Albania,41.1533,20.1683,25-01-2020,0,0,0
63,98,not,Albania,41.1533,20.1683,26-01-2020,0,0,0
64,99,not,Albania,41.1533,20.1683,27-01-2020,0,0,0
65,100,not,Albania,41.1533,20.1683,28-01-2020,0,0,0
66,101,not,Albania,41.1533,20.1683,29-01-2020,0,0,0
67,102,not,Albania,41.1533,20.1683,30-01-2020,0,0,0
68,103,not,Albania,41.1533,20.1683,31-01-2020,0,0,0
69,104,not,Albania,41.1533,20.1683,01-02-2020,0,0,0
70,105,not,Albania,41.1533,20.1683,02-02-2020,0,0,0
71,106,not,Albania,41.1533,20.1683,03-02-2020,0,0,0
72,107,not,Albania,41.1533,20.1683,04-02-2020,0,0,0
73,108,not,Albania,41.1533,20.1683,05-02-2020,0,0,0
74,109,not,Albania,41.1533,20.1683,06-02-2020,0,0,0
75,110,not,Albania,41.1533,20.1683,07-02-2020,0,0,0
76,111,not,Albania,41.1533,20.1683,08-02-2020,0,0,0
77,112,not,Albania,41.1533,20.1683,09-02-2020,0,0,0
78,113,not,Albania,41.1533,20.1683,10-02-2020,0,0,0
79,114,not,Albania,41.1533,20.1683,11-02-2020,0,0,0
80,115,not,Albania,41.1533,20.1683,12-02-2020,0,0,0
81,116,not,Albania,41.1533,20.1683,13-02-2020,0,0,0
82,117,not,Albania,41.1533,20.1683,14-02-2020,0,0,0
83,118,not,Albania,41.1533,20.1683,15-02-2020,0,0,0
84,119,not,Albania,41.1533,20.1683,16-02-2020,0,0,0
85,120,not,Albania,41.1533,20.1683,17-02-2020,0,0,0
86,121,not,Albania,41.1533,20.1683,18-02-2020,0,0,0
87,122,not,Albania,41.1533,20.1683,19-02-2020,0,0,0
88,123,not,Albania,41.1533,20.1683,20-02-2020,0,0,0
89,124,not,Albania,41.1533,20.1683,21-02-2020,0,0,0
90,125,not,Albania,41.1533,20.1683,22-02-2020,0,0,0
91,126,not,Albania,41.1533,20.1683,23-02-2020,0,0,0
92,127,not,Albania,41.1533,20.1683,24-02-2020,0,0,0
93,128,not,Albania,41.1533,20.1683,25-02-2020,0,0,0
94,129,not,Albania,41.1533,20.1683,26-02-2020,0,0,0
95,130,not,Albania,41.1533,20.1683,27-02-2020,0,0,0
96,131,not,Albania,41.1533,20.1683,28-02-2020,0,0,0
97,132,not,Albania,41.1533,20.1683,29-02-2020,0,0,0
98,133,not,Albania,41.1533,20.1683,01-03-2020,0,0,0
99,134,not,Albania,41.1533,20.1683,02-03-2020,0,0,0
100,135,not,Albania,41.1533,20.1683,03-03-2020,0,0,0
101,136,not,Albania,41.1533,20.1683,04-03-2020,0,0,0
102,137,not,Albania,41.1533,20.1683,05-03-2020,0,0,0
103,138,not,Albania,41.1533,20.1683,06-03-2020,0,0,0
104,139,not,Albania,41.1533,20.1683,07-03-2020,0,0,0
105,140,not,Albania,41.1533,20.1683,08-03-2020,0,0,0
106,141,not,Albania,41.1533,20.1683,09-03-2020,2,0,0
107,142,not,Albania,41.1533,20.1683,10-03-2020,10,0,2
108,143,not,Albania,41.1533,20.1683,11-03-2020,12,1,10
109,144,not,Albania,41.1533,20.1683,12-03-2020,23,1,12
110,145,not,Albania,41.1533,20.1683,13-03-2020,33,1,23
111,146,not,Albania,41.1533,20.1683,14-03-2020,38,1,33
112,147,not,Albania,41.1533,20.1683,15-03-2020,42,1,38
113,148,not,Albania,41.1533,20.1683,16-03-2020,51,1,42
114,149,not,Albania,41.1533,20.1683,17-03-2020,55,1,51
115,150,not,Albania,41.1533,20.1683,18-03-2020,59,2,55
116,151,not,Albania,41.1533,20.1683,19-03-2020,64,2,59
117,152,not,Albania,41.1533,20.1683,20-03-2020,70,2,64
118,187,not,Algeria,28.0339,1.6596,22-01-2020,0,0,2
119,188,not,Algeria,28.0339,1.6596,23-01-2020,0,0,0
120,189,not,Algeria,28.0339,1.6596,24-01-2020,0,0,0
121,190,not,Algeria,28.0339,1.6596,25-01-2020,0,0,0
122,191,not,Algeria,28.0339,1.6596,26-01-2020,0,0,0
123,192,not,Algeria,28.0339,1.6596,27-01-2020,0,0,0
124,193,not,Algeria,28.0339,1.6596,28-01-2020,0,0,0
125,194,not,Algeria,28.0339,1.6596,29-01-2020,0,0,0
126,195,not,Algeria,28.0339,1.6596,30-01-2020,0,0,0
127,196,not,Algeria,28.0339,1.6596,31-01-2020,0,0,0
128,197,not,Algeria,28.0339,1.6596,01-02-2020,0,0,0
129,198,not,Algeria,28.0339,1.6596,02-02-2020,0,0,0
130,199,not,Algeria,28.0339,1.6596,03-02-2020,0,0,0
131,200,not,Algeria,28.0339,1.6596,04-02-2020,0,0,0
132,201,not,Algeria,28.0339,1.6596,05-02-2020,0,0,0
133,202,not,Algeria,28.0339,1.6596,06-02-2020,0,0,0
134,203,not,Algeria,28.0339,1.6596,07-02-2020,0,0,0
135,204,not,Algeria,28.0339,1.6596,08-02-2020,0,0,0
136,205,not,Algeria,28.0339,1.6596,09-02-2020,0,0,0
137,206,not,Algeria,28.0339,1.6596,10-02-2020,0,0,0
138,207,not,Algeria,28.0339,1.6596,11-02-2020,0,0,0
139,208,not,Algeria,28.0339,1.6596,12-02-2020,0,0,0
140,209,not,Algeria,28.0339,1.6596,13-02-2020,0,0,0
141,210,not,Algeria,28.0339,1.6596,14-02-2020,0,0,0
142,211,not,Algeria,28.0339,1.6596,15-02-2020,0,0,0
143,212,not,Algeria,28.0339,1.6596,16-02-2020,0,0,0
144,213,not,Algeria,28.0339,1.6596,17-02-2020,0,0,0
145,214,not,Algeria,28.0339,1.6596,18-02-2020,0,0,0
146,215,not,Algeria,28.0339,1.6596,19-02-2020,0,0,0
147,216,not,Algeria,28.0339,1.6596,20-02-2020,0,0,0
148,217,not,Algeria,28.0339,1.6596,21-02-2020,0,0,0
149,218,not,Algeria,28.0339,1.6596,22-02-2020,0,0,0
150,219,not,Algeria,28.0339,1.6596,23-02-2020,0,0,0
151,220,not,Algeria,28.0339,1.6596,24-02-2020,0,0,0
152,221,not,Algeria,28.0339,1.6596,25-02-2020,1,0,0
153,222,not,Algeria,28.0339,1.6596,26-02-2020,1,0,1
154,223,not,Algeria,28.0339,1.6596,27-02-2020,1,0,1
155,224,not,Algeria,28.0339,1.6596,28-02-2020,1,0,1
156,225,not,Algeria,28.0339,1.6596,29-02-2020,1,0,1
157,226,not,Algeria,28.0339,1.6596,01-03-2020,1,0,1
158,227,not,Algeria,28.0339,1.6596,02-03-2020,3,0,1
159,228,not,Algeria,28.0339,1.6596,03-03-2020,5,0,3
160,229,not,Algeria,28.0339,1.6596,04-03-2020,12,0,5
161,230,not,Algeria,28.0339,1.6596,05-03-2020,12,0,12
162,231,not,Algeria,28.0339,1.6596,06-03-2020,17,0,12
163,232,not,Algeria,28.0339,1.6596,07-03-2020,17,0,17
164,233,not,Algeria,28.0339,1.6596,08-03-2020,19,0,17
165,234,not,Algeria,28.0339,1.6596,09-03-2020,20,0,19
166,235,not,Algeria,28.0339,1.6596,10-03-2020,20,0,20
167,236,not,Algeria,28.0339,1.6596,11-03-2020,20,0,20
168,237,not,Algeria,28.0339,1.6596,12-03-2020,24,1,20
169,238,not,Algeria,28.0339,1.6596,13-03-2020,26,2,24
170,239,not,Algeria,28.0339,1.6596,14-03-2020,37,3,26
171,240,not,Algeria,28.0339,1.6596,15-03-2020,48,4,37
172,241,not,Algeria,28.0339,1.6596,16-03-2020,54,4,48
173,242,not,Algeria,28.0339,1.6596,17-03-2020,60,4,54
174,243,not,Algeria,28.0339,1.6596,18-03-2020,74,7,60
175,244,not,Algeria,28.0339,1.6596,19-03-2020,87,9,74
176,245,not,Algeria,28.0339,1.6596,20-03-2020,90,11,87
177,280,not,Andorra,42.5063,1.5218,22-01-2020,0,0,2
178,281,not,Andorra,42.5063,1.5218,23-01-2020,0,0,0
179,282,not,Andorra,42.5063,1.5218,24-01-2020,0,0,0
180,283,not,Andorra,42.5063,1.5218,25-01-2020,0,0,0
181,284,not,Andorra,42.5063,1.5218,26-01-2020,0,0,0
182,285,not,Andorra,42.5063,1.5218,27-01-2020,0,0,0
183,286,not,Andorra,42.5063,1.5218,28-01-2020,0,0,0
184,287,not,Andorra,42.5063,1.5218,29-01-2020,0,0,0
185,288,not,Andorra,42.5063,1.5218,30-01-2020,0,0,0
186,289,not,Andorra,42.5063,1.5218,31-01-2020,0,0,0
187,290,not,Andorra,42.5063,1.5218,01-02-2020,0,0,0
188,291,not,Andorra,42.5063,1.5218,02-02-2020,0,0,0
189,292,not,Andorra,42.5063,1.5218,03-02-2020,0,0,0
190,293,not,Andorra,42.5063,1.5218,04-02-2020,0,0,0
191,294,not,Andorra,42.5063,1.5218,05-02-2020,0,0,0
192,295,not,Andorra,42.5063,1.5218,06-02-2020,0,0,0
193,296,not,Andorra,42.5063,1.5218,07-02-2020,0,0,0
194,297,not,Andorra,42.5063,1.5218,08-02-2020,0,0,0
195,298,not,Andorra,42.5063,1.5218,09-02-2020,0,0,0
196,299,not,Andorra,42.5063,1.5218,10-02-2020,0,0,0
197,300,not,Andorra,42.5063,1.5218,11-02-2020,0,0,0
198,301,not,Andorra,42.5063,1.5218,12-02-2020,0,0,0
199,302,not,Andorra,42.5063,1.5218,13-02-2020,0,0,0
200,303,not,Andorra,42.5063,1.5218,14-02-2020,0,0,0
201,304,not,Andorra,42.5063,1.5218,15-02-2020,0,0,0
202,305,not,Andorra,42.5063,1.5218,16-02-2020,0,0,0
203,306,not,Andorra,42.5063,1.5218,17-02-2020,0,0,0
204,307,not,Andorra,42.5063,1.5218,18-02-2020,0,0,0
205,308,not,Andorra,42.5063,1.5218,19-02-2020,0,0,0
206,309,not,Andorra,42.5063,1.5218,20-02-2020,0,0,0
207,310,not,Andorra,42.5063,1.5218,21-02-2020,0,0,0
208,311,not,Andorra,42.5063,1.5218,22-02-2020,0,0,0
209,312,not,Andorra,42.5063,1.5218,23-02-2020,0,0,0
210,313,not,Andorra,42.5063,1.5218,24-02-2020,0,0,0
211,314,not,Andorra,42.5063,1.5218,25-02-2020,0,0,0
212,315,not,Andorra,42.5063,1.5218,26-02-2020,0,0,0
213,316,not,Andorra,42.5063,1.5218,27-02-2020,0,0,0
214,317,not,Andorra,42.5063,1.5218,28-02-2020,0,0,0
215,318,not,Andorra,42.5063,1.5218,29-02-2020,0,0,0
216,319,not,Andorra,42.5063,1.5218,01-03-2020,0,0,0
217,320,not,Andorra,42.5063,1.5218,02-03-2020,1,0,0
218,321,not,Andorra,42.5063,1.5218,03-03-2020,1,0,1
219,322,not,Andorra,42.5063,1.5218,04-03-2020,1,0,1
220,323,not,Andorra,42.5063,1.5218,05-03-2020,1,0,1
221,324,not,Andorra,42.5063,1.5218,06-03-2020,1,0,1
222,325,not,Andorra,42.5063,1.5218,07-03-2020,1,0,1
223,326,not,Andorra,42.5063,1.5218,08-03-2020,1,0,1
224,327,not,Andorra,42.5063,1.5218,09-03-2020,1,0,1
225,328,not,Andorra,42.5063,1.5218,10-03-2020,1,0,1
226,329,not,Andorra,42.5063,1.5218,11-03-2020,1,0,1
227,330,not,Andorra,42.5063,1.5218,12-03-2020,1,0,1
228,331,not,Andorra,42.5063,1.5218,13-03-2020,1,0,1
229,332,not,Andorra,42.5063,1.5218,14-03-2020,1,0,1
230,333,not,Andorra,42.5063,1.5218,15-03-2020,1,0,1
231,334,not,Andorra,42.5063,1.5218,16-03-2020,2,0,1
232,335,not,Andorra,42.5063,1.5218,17-03-2020,39,0,2
233,336,not,Andorra,42.5063,1.5218,18-03-2020,39,0,39
234,337,not,Andorra,42.5063,1.5218,19-03-2020,53,0,39
235,338,not,Andorra,42.5063,1.5218,20-03-2020,75,0,53
236,373,not,Antigua and Barbuda,17.0608,-61.7964,22-01-2020,0,0,2
237,374,not,Antigua and Barbuda,17.0608,-61.7964,23-01-2020,0,0,0
238,375,not,Antigua and Barbuda,17.0608,-61.7964,24-01-2020,0,0,0
239,376,not,Antigua and Barbuda,17.0608,-61.7964,25-01-2020,0,0,0
240,377,not,Antigua and Barbuda,17.0608,-61.7964,26-01-2020,0,0,0
241,378,not,Antigua and Barbuda,17.0608,-61.7964,27-01-2020,0,0,0
242,379,not,Antigua and Barbuda,17.0608,-61.7964,28-01-2020,0,0,0
243,380,not,Antigua and Barbuda,17.0608,-61.7964,29-01-2020,0,0,0
244,381,not,Antigua and Barbuda,17.0608,-61.7964,30-01-2020,0,0,0
245,382,not,Antigua and Barbuda,17.0608,-61.7964,31-01-2020,0,0,0
246,383,not,Antigua and Barbuda,17.0608,-61.7964,01-02-2020,0,0,0
247,384,not,Antigua and Barbuda,17.0608,-61.7964,02-02-2020,0,0,0
248,385,not,Antigua and Barbuda,17.0608,-61.7964,03-02-2020,0,0,0
249,386,not,Antigua and Barbuda,17.0608,-61.7964,04-02-2020,0,0,0
250,387,not,Antigua and Barbuda,17.0608,-61.7964,05-02-2020,0,0,0
251,388,not,Antigua and Barbuda,17.0608,-61.7964,06-02-2020,0,0,0
252,389,not,Antigua and Barbuda,17.0608,-61.7964,07-02-2020,0,0,0
253,390,not,Antigua and Barbuda,17.0608,-61.7964,08-02-2020,0,0,0
254,391,not,Antigua and Barbuda,17.0608,-61.7964,09-02-2020,0,0,0
255,392,not,Antigua and Barbuda,17.0608,-61.7964,10-02-2020,0,0,0
256,393,not,Antigua and Barbuda,17.0608,-61.7964,11-02-2020,0,0,0
257,394,not,Antigua and Barbuda,17.0608,-61.7964,12-02-2020,0,0,0
258,395,not,Antigua and Barbuda,17.0608,-61.7964,13-02-2020,0,0,0
259,396,not,Antigua and Barbuda,17.0608,-61.7964,14-02-2020,0,0,0
260,397,not,Antigua and Barbuda,17.0608,-61.7964,15-02-2020,0,0,0
261,398,not,Antigua and Barbuda,17.0608,-61.7964,16-02-2020,0,0,0
262,399,not,Antigua and Barbuda,17.0608,-61.7964,17-02-2020,0,0,0
263,400,not,Antigua and Barbuda,17.0608,-61.7964,18-02-2020,0,0,0
264,401,not,Antigua and Barbuda,17.0608,-61.7964,19-02-2020,0,0,0
265,402,not,Antigua and Barbuda,17.0608,-61.7964,20-02-2020,0,0,0
266,403,not,Antigua and Barbuda,17.0608,-61.7964,21-02-2020,0,0,0
267,404,not,Antigua and Barbuda,17.0608,-61.7964,22-02-2020,0,0,0
268,405,not,Antigua and Barbuda,17.0608,-61.7964,23-02-2020,0,0,0
269,406,not,Antigua and Barbuda,17.0608,-61.7964,24-02-2020,0,0,0
270,407,not,Antigua and Barbuda,17.0608,-61.7964,25-02-2020,0,0,0
271,408,not,Antigua and Barbuda,17.0608,-61.7964,26-02-2020,0,0,0
272,409,not,Antigua and Barbuda,17.0608,-61.7964,27-02-2020,0,0,0
273,410,not,Antigua and Barbuda,17.0608,-61.7964,28-02-2020,0,0,0
274,411,not,Antigua and Barbuda,17.0608,-61.7964,29-02-2020,0,0,0
275,412,not,Antigua and Barbuda,17.0608,-61.7964,01-03-2020,0,0,0
276,413,not,Antigua and Barbuda,17.0608,-61.7964,02-03-2020,0,0,0
277,414,not,Antigua and Barbuda,17.0608,-61.7964,03-03-2020,0,0,0
278,415,not,Antigua and Barbuda,17.0608,-61.7964,04-03-2020,0,0,0
279,416,not,Antigua and Barbuda,17.0608,-61.7964,05-03-2020,0,0,0
280,417,not,Antigua and Barbuda,17.0608,-61.7964,06-03-2020,0,0,0
281,418,not,Antigua and Barbuda,17.0608,-61.7964,07-03-2020,0,0,0
282,419,not,Antigua and Barbuda,17.0608,-61.7964,08-03-2020,0,0,0
283,420,not,Antigua and Barbuda,17.0608,-61.7964,09-03-2020,0,0,0
284,421,not,Antigua and Barbuda,17.0608,-61.7964,10-03-2020,0,0,0
285,422,not,Antigua and Barbuda,17.0608,-61.7964,11-03-2020,0,0,0
286,423,not,Antigua and Barbuda,17.0608,-61.7964,12-03-2020,0,0,0
287,424,not,Antigua and Barbuda,17.0608,-61.7964,13-03-2020,1,0,0
288,425,not,Antigua and Barbuda,17.0608,-61.7964,14-03-2020,1,0,1
289,426,not,Antigua and Barbuda,17.0608,-61.7964,15-03-2020,1,0,1
290,427,not,Antigua and Barbuda,17.0608,-61.7964,16-03-2020,1,0,1
291,428,not,Antigua and Barbuda,17.0608,-61.7964,17-03-2020,1,0,1
292,429,not,Antigua and Barbuda,17.0608,-61.7964,18-03-2020,1,0,1
293,430,not,Antigua and Barbuda,17.0608,-61.7964,19-03-2020,1,0,1
294,431,not,Antigua and Barbuda,17.0608,-61.7964,20-03-2020,1,0,1
295,466,not,Argentina,-38.4161,-63.6167,22-01-2020,0,0,2
296,467,not,Argentina,-38.4161,-63.6167,23-01-2020,0,0,0
297,468,not,Argentina,-38.4161,-63.6167,24-01-2020,0,0,0
298,469,not,Argentina,-38.4161,-63.6167,25-01-2020,0,0,0
299,470,not,Argentina,-38.4161,-63.6167,26-01-2020,0,0,0
300,471,not,Argentina,-38.4161,-63.6167,27-01-2020,0,0,0
301,472,not,Argentina,-38.4161,-63.6167,28-01-2020,0,0,0
302,473,not,Argentina,-38.4161,-63.6167,29-01-2020,0,0,0
303,474,not,Argentina,-38.4161,-63.6167,30-01-2020,0,0,0
304,475,not,Argentina,-38.4161,-63.6167,31-01-2020,0,0,0
305,476,not,Argentina,-38.4161,-63.6167,01-02-2020,0,0,0
306,477,not,Argentina,-38.4161,-63.6167,02-02-2020,0,0,0
307,478,not,Argentina,-38.4161,-63.6167,03-02-2020,0,0,0
308,479,not,Argentina,-38.4161,-63.6167,04-02-2020,0,0,0
309,480,not,Argentina,-38.4161,-63.6167,05-02-2020,0,0,0
310,481,not,Argentina,-38.4161,-63.6167,06-02-2020,0,0,0
311,482,not,Argentina,-38.4161,-63.6167,07-02-2020,0,0,0
312,483,not,Argentina,-38.4161,-63.6167,08-02-2020,0,0,0
313,484,not,Argentina,-38.4161,-63.6167,09-02-2020,0,0,0
314,485,not,Argentina,-38.4161,-63.6167,10-02-2020,0,0,0
315,486,not,Argentina,-38.4161,-63.6167,11-02-2020,0,0,0
316,487,not,Argentina,-38.4161,-63.6167,12-02-2020,0,0,0
317,488,not,Argentina,-38.4161,-63.6167,13-02-2020,0,0,0
318,489,not,Argentina,-38.4161,-63.6167,14-02-2020,0,0,0
319,490,not,Argentina,-38.4161,-63.6167,15-02-2020,0,0,0
320,491,not,Argentina,-38.4161,-63.6167,16-02-2020,0,0,0
321,492,not,Argentina,-38.4161,-63.6167,17-02-2020,0,0,0
322,493,not,Argentina,-38.4161,-63.6167,18-02-2020,0,0,0
323,494,not,Argentina,-38.4161,-63.6167,19-02-2020,0,0,0
324,495,not,Argentina,-38.4161,-63.6167,20-02-2020,0,0,0
325,496,not,Argentina,-38.4161,-63.6167,21-02-2020,0,0,0
326,497,not,Argentina,-38.4161,-63.6167,22-02-2020,0,0,0
327,498,not,Argentina,-38.4161,-63.6167,23-02-2020,0,0,0
328,499,not,Argentina,-38.4161,-63.6167,24-02-2020,0,0,0
329,500,not,Argentina,-38.4161,-63.6167,25-02-2020,0,0,0
330,501,not,Argentina,-38.4161,-63.6167,26-02-2020,0,0,0
331,502,not,Argentina,-38.4161,-63.6167,27-02-2020,0,0,0
332,503,not,Argentina,-38.4161,-63.6167,28-02-2020,0,0,0
333,504,not,Argentina,-38.4161,-63.6167,29-02-2020,0,0,0
334,505,not,Argentina,-38.4161,-63.6167,01-03-2020,0,0,0
335,506,not,Argentina,-38.4161,-63.6167,02-03-2020,0,0,0
336,507,not,Argentina,-38.4161,-63.6167,03-03-2020,1,0,0
337,508,not,Argentina,-38.4161,-63.6167,04-03-2020,1,0,1
338,509,not,Argentina,-38.4161,-63.6167,05-03-2020,1,0,1
339,510,not,Argentina,-38.4161,-63.6167,06-03-2020,2,0,1
340,511,not,Argentina,-38.4161,-63.6167,07-03-2020,8,0,2
341,512,not,Argentina,-38.4161,-63.6167,08-03-2020,12,1,8
342,513,not,Argentina,-38.4161,-63.6167,09-03-2020,12,1,12
343,514,not,Argentina,-38.4161,-63.6167,10-03-2020,17,1,12
344,515,not,Argentina,-38.4161,-63.6167,11-03-2020,19,1,17
345,516,not,Argentina,-38.4161,-63.6167,12-03-2020,19,1,19
346,517,not,Argentina,-38.4161,-63.6167,13-03-2020,31,2,19
347,518,not,Argentina,-38.4161,-63.6167,14-03-2020,34,2,31
348,519,not,Argentina,-38.4161,-63.6167,15-03-2020,45,2,34
349,520,not,Argentina,-38.4161,-63.6167,16-03-2020,56,2,45
350,521,not,Argentina,-38.4161,-63.6167,17-03-2020,68,2,56
351,522,not,Argentina,-38.4161,-63.6167,18-03-2020,79,2,68
352,523,not,Argentina,-38.4161,-63.6167,19-03-2020,97,3,79
353,524,not,Argentina,-38.4161,-63.6167,20-03-2020,128,3,97
354,559,not,Armenia,40.0691,45.0382,22-01-2020,0,0,2
355,560,not,Armenia,40.0691,45.0382,23-01-2020,0,0,0
356,561,not,Armenia,40.0691,45.0382,24-01-2020,0,0,0
357,562,not,Armenia,40.0691,45.0382,25-01-2020,0,0,0
358,563,not,Armenia,40.0691,45.0382,26-01-2020,0,0,0
359,564,not,Armenia,40.0691,45.0382,27-01-2020,0,0,0
360,565,not,Armenia,40.0691,45.0382,28-01-2020,0,0,0
361,566,not,Armenia,40.0691,45.0382,29-01-2020,0,0,0
362,567,not,Armenia,40.0691,45.0382,30-01-2020,0,0,0
363,568,not,Armenia,40.0691,45.0382,31-01-2020,0,0,0
364,569,not,Armenia,40.0691,45.0382,01-02-2020,0,0,0
365,570,not,Armenia,40.0691,45.0382,02-02-2020,0,0,0
366,571,not,Armenia,40.0691,45.0382,03-02-2020,0,0,0
367,572,not,Armenia,40.0691,45.0382,04-02-2020,0,0,0
368,573,not,Armenia,40.0691,45.0382,05-02-2020,0,0,0
369,574,not,Armenia,40.0691,45.0382,06-02-2020,0,0,0
370,575,not,Armenia,40.0691,45.0382,07-02-2020,0,0,0
371,576,not,Armenia,40.0691,45.0382,08-02-2020,0,0,0
372,577,not,Armenia,40.0691,45.0382,09-02-2020,0,0,0
373,578,not,Armenia,40.0691,45.0382,10-02-2020,0,0,0
374,579,not,Armenia,40.0691,45.0382,11-02-2020,0,0,0
375,580,not,Armenia,40.0691,45.0382,12-02-2020,0,0,0
376,581,not,Armenia,40.0691,45.0382,13-02-2020,0,0,0
377,582,not,Armenia,40.0691,45.0382,14-02-2020,0,0,0
378,583,not,Armenia,40.0691,45.0382,15-02-2020,0,0,0
379,584,not,Armenia,40.0691,45.0382,16-02-2020,0,0,0
380,585,not,Armenia,40.0691,45.0382,17-02-2020,0,0,0
381,586,not,Armenia,40.0691,45.0382,18-02-2020,0,0,0
382,587,not,Armenia,40.0691,45.0382,19-02-2020,0,0,0
383,588,not,Armenia,40.0691,45.0382,20-02-2020,0,0,0
384,589,not,Armenia,40.0691,45.0382,21-02-2020,0,0,0
385,590,not,Armenia,40.0691,45.0382,22-02-2020,0,0,0
386,591,not,Armenia,40.0691,45.0382,23-02-2020,0,0,0
387,592,not,Armenia,40.0691,45.0382,24-02-2020,0,0,0
388,593,not,Armenia,40.0691,45.0382,25-02-2020,0,0,0
389,594,not,Armenia,40.0691,45.0382,26-02-2020,0,0,0
390,595,not,Armenia,40.0691,45.0382,27-02-2020,0,0,0
391,596,not,Armenia,40.0691,45.0382,28-02-2020,0,0,0
392,597,not,Armenia,40.0691,45.0382,29-02-2020,0,0,0
393,598,not,Armenia,40.0691,45.0382,01-03-2020,1,0,0
394,599,not,Armenia,40.0691,45.0382,02-03-2020,1,0,1
